City,Price,Date
Paris,44.81,2025-03-24
Amsterdam,81.5,2025-03-20
Rome,46.79,2025-03-20
Madrid,81.54,2025-03-24
Lisbon,71.87,2025-03-24
Athens,91.81,2025-03-23
Barcelona,55.83,2025-03-23
Berlin,64.97,2025-03-24
Milan,65.14,2025-03-24
Vienna,34.94,2025-03-24
Brussels,124.36,2025-03-23
Prague,60.06,2025-03-23
Budapest,26.03,2025-03-24
Zurich,118.09,2025-03-21
Cairo,156.92,2025-03-24
Casablanca,112.01,2025-03-24
Marrakech,52.05,2025-03-23
Tunis,234.41,2025-03-20
Algiers,98.26,2025-03-23
Tangier,271.59,2025-03-23
Beirut,173.14,2025-03-23
Amman,169.99,2025-03-24
Istanbul,81.47,2025-03-24
Doha,165.56,2025-03-24
Manama,219.69,2025-03-23
