City,Temperature (°C)
United Kingdom,18
Paris,25
Amsterdam,22
Rome,37
Madrid,35
Lisbon,35
Athens,34
Barcelona,28
Berlin,25
Milan,29
Vienna,28
Brussels,24
Prague,23
Budapest,31
Zurich,24
Cairo,39
Casablanca,29
Marrakech,42
Tunis,44
Algiers,28
Tripoli,34
Tangier,31
Beirut,31
Amman,32
Istanbul,34
Doha,46
Manama,42
Nice,20
Santorini,28
Albufeira,27
Catania,31
Malaga,30
Dubrovnik,26
Naples,27
Toulon,26
Sharm El Sheikh,35
Hurghada,36
Djerba,30
Essaouira,24
Agadir,28
