City,Price,Date,Beach
Paris,42.73,2025-09-09,False
Amsterdam,37.78,2025-09-09,False
Rome,49.82,2025-09-09,True
Madrid,74.17,2025-09-09,False
Lisbon,78.34,2025-09-09,True
Athens,36.06,2025-09-09,True
Barcelona,43.15,2025-09-09,True
Milan,39.4,2025-09-09,False
Vienna,54.28,2025-09-08,False
Brussels,57.99,2025-09-10,False
Prague,35.85,2025-09-09,False
Budapest,32.64,2025-09-09,False
Zurich,64.45,2025-09-10,False
Cairo,117.99,2025-09-09,False
Casablanca,79.01,2025-09-09,True
Marrakech,47.06,2025-09-09,False
Tunis,77.91,2025-09-07,True
Algiers,73.52,2025-09-09,True
Tangier,70.07,2025-09-09,True
Beirut,109.06,2025-09-09,True
Amman,94.82,2025-09-08,True
Istanbul,45.92,2025-09-10,True
Doha,139.33,2025-09-08,True
Manama,106.59,2025-09-08,True
Nice,42.68,2025-09-10,True
Santorini,53.73,2025-09-07,True
Albufeira,29.57,2025-09-09,True
Catania,59.49,2025-09-06,True
Malaga,38.23,2025-09-10,True
Dubrovnik,47.96,2025-09-07,True
Naples,63.5,2025-09-09,True
Toulon,134.1,2025-09-06,True
Sharm El Sheikh,105.23,2025-09-10,True
Hurghada,83.08,2025-09-09,True
Djerba,61.54,2025-09-09,True
Essaouira,50.31,2025-09-06,True
Agadir,55.94,2025-09-10,True
