City,Price,Date,Beach
Amsterdam,64.28,2025-11-05,False
Rome,54.85,2025-11-05,True
Madrid,29.43,2025-11-03,False
Lisbon,75.32,2025-11-04,True
Athens,60.84,2025-11-04,True
Barcelona,29.43,2025-11-03,True
Berlin,64.79,2025-11-04,False
Milan,54.85,2025-11-03,False
Vienna,57.19,2025-11-03,False
Brussels,57.48,2025-11-04,False
Prague,49.25,2025-11-03,False
Budapest,37.73,2025-11-04,False
Cairo,135.1,2025-11-02,False
Casablanca,79.37,2025-11-04,True
Marrakech,70.58,2025-11-04,False
Tunis,125.79,2025-11-04,True
Tangier,72.75,2025-11-06,True
Beirut,111.58,2025-11-06,True
Amman,58.66,2025-11-03,True
Istanbul,66.78,2025-11-03,True
Doha,178.41,2025-11-04,True
Manama,129.21,2025-11-06,True
Nice,68.08,2025-11-04,True
Santorini,135.07,2025-11-05,True
Albufeira,24.43,2025-11-02,True
Catania,56.68,2025-11-03,True
Malaga,26.76,2025-11-02,True
Dubrovnik,37.58,2025-11-02,True
Naples,57.74,2025-11-04,True
Toulon,270.83,2025-11-02,True
Sharm El Sheikh,116.61,2025-11-03,True
Hurghada,121.95,2025-11-03,True
Djerba,145.96,2025-11-06,True
Essaouira,61.18,2025-11-06,True
Agadir,43.85,2025-11-06,True
