City,Price,Date,Beach
Paris,47.65,2025-11-24,False
Amsterdam,73.0,2025-11-23,False
Rome,38.79,2025-11-23,True
Madrid,63.83,2025-11-24,False
Lisbon,67.13,2025-11-22,True
Athens,78.84,2025-11-23,True
Barcelona,34.78,2025-11-23,True
Berlin,61.0,2025-11-24,False
Milan,100.29,2025-11-24,False
Vienna,58.15,2025-11-23,False
Brussels,72.17,2025-11-24,False
Prague,45.19,2025-11-23,False
Budapest,56.69,2025-11-23,False
Cairo,146.26,2025-11-24,False
Casablanca,90.86,2025-11-24,True
Marrakech,46.53,2025-11-25,False
Tunis,131.65,2025-11-24,True
Algiers,74.81,2025-11-24,True
Beirut,112.73,2025-11-22,True
Amman,60.05,2025-11-24,True
Doha,135.7,2025-11-23,True
Manama,168.81,2025-11-24,True
Nice,90.22,2025-11-23,True
Albufeira,28.2,2025-11-23,True
Catania,60.25,2025-11-25,True
Dubrovnik,42.67,2025-11-26,True
Naples,45.0,2025-11-26,True
Toulon,328.2,2025-11-22,True
Sharm El Sheikh,86.39,2025-11-24,True
Hurghada,91.43,2025-11-25,True
Djerba,66.28,2025-11-24,True
Essaouira,71.03,2025-11-24,True
Agadir,48.53,2025-11-24,True
