City,Price,Date,Beach
Paris,50.69,2026-02-22,False
Amsterdam,67.9,2026-02-24,False
Rome,27.99,2026-02-23,True
Madrid,81.16,2026-02-24,False
Lisbon,81.03,2026-02-24,True
Athens,102.54,2026-02-25,True
Barcelona,83.5,2026-02-24,True
Berlin,78.85,2026-02-24,False
Milan,24.53,2026-02-23,False
Vienna,83.01,2026-02-23,False
Brussels,61.59,2026-02-24,False
Prague,35.9,2026-02-22,False
Budapest,90.17,2026-02-24,False
Zurich,77.93,2026-02-24,False
Cairo,183.68,2026-02-23,False
Casablanca,85.55,2026-02-23,True
Marrakech,49.61,2026-02-23,False
Tunis,161.15,2026-02-24,True
Algiers,110.14,2026-02-21,True
Tangier,76.5,2026-02-25,True
Beirut,124.1,2026-02-21,True
Amman,91.17,2026-02-23,True
Istanbul,111.35,2026-02-22,True
Doha,201.91,2026-02-24,True
Manama,111.85,2026-02-21,True
Nice,112.56,2026-02-23,True
Santorini,179.3,2026-02-25,True
Albufeira,62.61,2026-02-24,True
Catania,124.68,2026-02-21,True
Malaga,52.64,2026-02-22,True
Dubrovnik,223.87,2026-02-25,True
Naples,99.8,2026-02-23,True
Toulon,187.15,2026-02-22,True
Sharm El Sheikh,141.85,2026-02-23,True
Hurghada,92.69,2026-02-21,True
Djerba,154.57,2026-02-23,True
Essaouira,95.74,2026-02-23,True
Agadir,34.34,2026-02-25,True
