City,Price,Date,Beach
Paris,50.63,2026-02-26,False
Amsterdam,56.58,2026-02-25,False
Rome,69.03,2026-03-01,True
Madrid,70.73,2026-03-01,False
Athens,83.51,2026-03-01,True
Barcelona,33.15,2026-02-28,True
Brussels,113.15,2026-02-28,False
Budapest,37.33,2026-03-01,False
Tangier,60.22,2026-02-28,True
Beirut,128.51,2026-03-01,True
Amman,73.2,2026-03-01,True
Manama,134.23,2026-02-27,True
Santorini,136.17,2026-03-01,True
Naples,65.83,2026-03-01,True
Toulon,223.99,2026-03-01,True
Hurghada,103.77,2026-02-27,True
Djerba,113.9,2026-03-01,True
Agadir,60.38,2026-02-28,True
